rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
L3	C1	same-0.3	env-1.0	p-0.50	6.94820494737143e-05	0.993349238986798	0.995	-0.000805696090097585	0.971274940240333	nc
L3	C1	same-0.3	env-1.0	p-0.50	0.0407795704133335	0.839964004675314	0.842	0.0194896323411694	0.383677342269524	c-Tm
L3	C1	same-0.3	env-1.0	p-0.50	0.0407795704133335	0.839964004675314	0.838	0.0194896323411694	0.383677342269524	c.p-Tm
L3	C1	same-0.3	env-1.0	p-0.50	0.00162643464522744	0.967830770623393	0.964	-0.0038875715697588	0.862062372837636	nc-Tm
L3	C1	same-0.3	env-1.0	p-0.50	0.0772339989526063	0.78108140467838	0.779	0.0268241585215294	0.230497379163942	c-ID
L3	C1	same-0.3	env-1.0	p-0.50	0.0772339989526063	0.78108140467838	0.775	0.0268241585215294	0.230497379163942	c.p-ID
L3	C1	same-0.3	env-1.0	p-0.50	0.0507635738768741	0.821739885420369	0.791	0.0218609965151264	0.32849042051033	nc-ID
L4	C1	same-0.3	env-1.0	p-0.50	0.139787675921109	0.708492182424549	0.679	-0.0350102128018923	0.117534783086986	c
L4	C1	same-0.3	env-1.0	p-0.50	0.139787675921109	0.708492182424549	0.694	-0.0350102128018923	0.117534783086986	c.p
L4	C1	same-0.3	env-1.0	p-0.50	2.3698498585998	0.123698948013084	0.124	0.141981255429269	1.79461959379141e-10	nc
L4	C1	same-0.3	env-1.0	p-0.50	0.789350253438158	0.374296666908589	0.397	-0.0829639190787704	0.000203731267558977	c-Tm
L4	C1	same-0.3	env-1.0	p-0.50	0.789350253438158	0.374296666908589	0.375	-0.0829639190787704	0.000203731267558977	c.p-Tm
L4	C1	same-0.3	env-1.0	p-0.50	0.356345117794701	0.550543103679653	0.556	-0.0555755826416581	0.0129266754520952	nc-Tm
L4	C1	same-0.3	env-1.0	p-0.50	0.98576081901901	0.320780679211197	0.32	-0.0926336105042771	3.33880462179586e-05	c-ID
L4	C1	same-0.3	env-1.0	p-0.50	0.98576081901901	0.320780679211197	0.313	-0.0926336105042771	3.33880462179586e-05	c.p-ID
L4	C1	same-0.3	env-1.0	p-0.50	0.854197801057533	0.355367506280704	0.329	-0.0860422772105623	0.000116837610222223	nc-ID
L5	C1	same-0.3	env-1.0	p-0.50	0.452813104409013	0.501002074450501	0.43	-0.0675709417421915	0.00249925979585492	c
L5	C1	same-0.3	env-1.0	p-0.50	0.452813104409013	0.501002074450501	0.451	-0.0675709417421915	0.00249925979585492	c.p
L5	C1	same-0.3	env-1.0	p-0.50	0.324535594703224	0.568894583407993	0.53	0.0571718238575464	0.0105489709520586	nc
L5	C1	same-0.3	env-1.0	p-0.50	1.35248663287797	0.244843870318259	0.202	-0.116058563847962	1.94364562491332e-07	c-Tm
L5	C1	same-0.3	env-1.0	p-0.50	1.35248663287797	0.244843870318259	0.166	-0.116058563847962	1.94364562491332e-07	c.p-Tm
L5	C1	same-0.3	env-1.0	p-0.50	0.339396131585245	0.560177993746847	0.529	-0.0591229210171757	0.00817590178093706	nc-Tm
L5	C1	same-0.3	env-1.0	p-0.50	1.63383559494729	0.201173351641438	0.124	-0.127263020632848	1.12279795058873e-08	c-ID
L5	C1	same-0.3	env-1.0	p-0.50	1.63383559494729	0.201173351641438	0.123	-0.127263020632848	1.12279795058873e-08	c.p-ID
L5	C1	same-0.3	env-1.0	p-0.50	1.09300243929502	0.295806921600593	0.214	-0.104794232570222	2.64596529669971e-06	nc-ID
L6	C1	same-0.3	env-1.0	p-0.50	0.0834511773769125	0.77267384107222	0.78	0.0277431896987839	0.214910232153916	c
