V1,Qx_random,Qx_strat,p_random,p_strat,REP
Tm-nc,2.42719901086811,0.322386910403076,0.119245800554071,0.570176717873518,M5
c,5.39979812171263,0.104111663267865,0.0201390808945833,0.746950180829776,M6
c.p,5.39979812171263,0.104111663267865,0.0201390808945833,0.746950180829776,M6
nc,3.17108922932772,0.856970909479211,0.0749524443230212,0.354587751628117,M6
Tm-c,8.91115699200507,0.185081172874565,0.00283433635120572,0.667042441374223,M6
Tm-c.p,8.91115699200507,0.185081172874565,0.00283433635120572,0.667042441374223,M6
Tm-nc,6.21652208425823,0.236181437014605,0.0126563492749534,0.626977788843862,M6
c,2.31623230896707,2.74882764519248,0.128029800426235,0.09732576652714,M7
c.p,2.31623230896707,2.74882764519248,0.128029800426235,0.09732576652714,M7
nc,2.70383132141782,3.43398664230804,0.100107417135975,0.0638677549302008,M7
Tm-c,1.62996627822268,3.29975210952434,0.201707712810939,0.0692903391378488,M7
Tm-c.p,1.62996627822268,3.29975210952434,0.201707712810939,0.0692903391378488,M7
Tm-nc,0.189644215790003,1.18308331581529,0.663212898683419,0.276729186510808,M7
c,0.360056861754307,0.664701865635992,0.548474657636766,0.414904899017343,M8
c.p,0.360056861754307,0.664701865635992,0.548474657636766,0.414904899017343,M8
nc,3.94097208280153,1.78473220383039,0.047123539648402,0.1815693110961,M8
Tm-c,0.982653313698209,0.443839040168755,0.321544622510745,0.505275310662196,M8
Tm-c.p,0.982653313698209,0.443839040168755,0.321544622510745,0.505275310662196,M8
Tm-nc,1.43788164231787,2.15560207051578,0.230482444568861,0.142050752260755,M8
c,0.123759270446126,0.583852133506705,0.724992489971123,0.444806356401118,M9
c.p,0.123759270446126,0.583852133506705,0.724992489971123,0.444806356401118,M9
nc,0.512128590887602,4.18410702775332,0.474218854386125,0.0408047038239917,M9
Tm-c,0.000330254951882414,0.109059175715607,0.985500907302354,0.741217803505777,M9
Tm-c.p,0.000330254951882414,0.109059175715607,0.985500907302354,0.741217803505777,M9
Tm-nc,7.48363276583521,3.19402681627459,0.0062262327436874,0.0739077469187468,M9
c,6.21725652673384,0.464794493925011,0.0126510999805842,0.495391743151766,M10
c.p,6.21725652673384,0.464794493925011,0.0126510999805842,0.495391743151766,M10
nc,1.98303547969544,1.32730930615247,0.159070990219223,0.249284459639232,M10
Tm-c,6.78808851327257,1.20652652098613,0.00917681182680678,0.272021128178207,M10
Tm-c.p,6.78808851327257,1.20652652098613,0.00917681182680678,0.272021128178207,M10
Tm-nc,1.90396386782174,0.000308085719120915,0.167635306400997,0.98599595344725,M10
c,0.33573392219748,0.24288901906771,0.562302095013418,0.622127255490483,M11
c.p,0.33573392219748,0.24288901906771,0.562302095013418,0.622127255490483,M11
nc,1.31338394724945,0.377017222873126,0.251782886104147,0.539203907002347,M11
Tm-c,0.413871823225762,0.118434290841703,0.520010833834609,0.730738870452734,M11
