rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.095015905662251	0.757894770876115	0.789	0.0302431822991403	0.17638174337392	c.p-Tm
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.0640236245954499	0.800245880167877	0.855	-0.025166895335811	0.260600768764005	nc-Tm
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.212006542812278	0.645199221726492	0.69	0.0451603878015403	0.0434454969887178	c-ID
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.212006542812278	0.645199221726492	0.713	0.0451603878015403	0.0434454969887178	c.p-ID
T2	C1	diff_large-0.3	env-1.0	p-0.50	0.686492042424931	0.407360136218341	0.489	0.0825556791124651	0.000219019225241454	nc-ID
T3	C1	diff_large-0.3	env-1.0	p-0.50	3.08280582003066	0.0791239176178994	0.089	0.16802463400956	3.92595067772333e-14	c
T3	C1	diff_large-0.3	env-1.0	p-0.50	3.08280582003066	0.0791239176178994	0.085	0.16802463400956	3.92595067772333e-14	c.p
T3	C1	diff_large-0.3	env-1.0	p-0.50	20.08610782784	7.40324810745496e-06	0.001	0.405027342261303	7.99109073596107e-80	nc
T3	C1	diff_large-0.3	env-1.0	p-0.50	1.23609997309246	0.266224010095518	0.261	0.106516235709606	1.80458865670714e-06	c-Tm
T3	C1	diff_large-0.3	env-1.0	p-0.50	1.23609997309246	0.266224010095518	0.293	0.106516235709606	1.80458865670714e-06	c.p-Tm
T3	C1	diff_large-0.3	env-1.0	p-0.50	1.5397919111263	0.214648781427248	0.209	0.120357181034583	6.7085357052589e-08	nc-Tm
T3	C1	diff_large-0.3	env-1.0	p-0.50	1.24867872881351	0.263804983024586	0.245	0.106907898865281	1.65278589262288e-06	c-ID
T3	C1	diff_large-0.3	env-1.0	p-0.50	1.24867872881351	0.263804983024586	0.258	0.106907898865281	1.65278589262288e-06	c.p-ID
T3	C1	diff_large-0.3	env-1.0	p-0.50	2.39138950154277	0.122005142532005	0.123	0.149693071206259	1.71733495297638e-11	nc-ID
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.32824312247589	0.566695437072567	0.609	-0.0551475001485	0.0136400177362308	c
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.32824312247589	0.566695437072567	0.605	-0.0551475001485	0.0136400177362308	c.p
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.0147998299303583	0.903172608348678	0.913	-0.0118495743291041	0.59637794497309	nc
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.370614031630506	0.542669758419409	0.573	-0.0585947885853867	0.00876587716268084	c-Tm
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.370614031630506	0.542669758419409	0.575	-0.0585947885853867	0.00876587716268084	c.p-Tm
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.00979507648659554	0.921162027141612	0.916	-0.00966491342460678	0.665764717225187	nc-Tm
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.410386070349184	0.52177361633104	0.563	-0.061641625672748	0.00582280425210253	c-ID
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.410386070349184	0.52177361633104	0.603	-0.061641625672748	0.00582280425210253	c.p-ID
T4	C1	diff_large-0.3	env-1.0	p-0.50	0.0497544768447187	0.823491054232789	0.816	-0.02179710031573	0.329906470658104	nc-ID
T5	C1	diff_large-0.3	env-1.0	p-0.50	3.5298908223442	0.0602717568083654	0.082	-0.177027964532767	1.52322116498723e-15	c
T5	C1	diff_large-0.3	env-1.0	p-0.50	3.5298908223442	0.0602717568083654	0.063	-0.177027964532767	1.52322116498723e-15	c.p
T5	C1	diff_large-0.3	env-1.0	p-0.50	25.2607704161055	5.00791370528187e-07	0	-0.43027921566878	6.14745495654816e-91	nc
T5	C1	diff_large-0.3	env-1.0	p-0.50	0.643652991322961	0.422391083479087	0.458	-0.0765105429636656	0.000615848348081114	c-Tm
T5	C1	diff_large-0.3	env-1.0	p-0.50	0.643652991322961	0.422391083479087	0.473	-0.0765105429636656	0.000615848348081114	c.p-Tm
T5	C1	diff_large-0.3	env-1.0	p-0.50	0.217997574310013	0.640569920219686	0.622	-0.0453547163469209	0.0425500270579777	nc-Tm
T5	C1	diff_large-0.3	env-1.0	p-0.50	0.370557143096483	0.54270073396099	0.541	-0.0581484080262182	0.00929386214916525	c-ID
T5	C1	diff_large-0.3	env-1.0	p-0.50	0.370557143096483	0.54270073396099	0.608	-0.0581484080262182	0.00929386214916525	c.p-ID
T5	C1	diff_large-0.3	env-1.0	p-0.50	0.717189812835479	0.397067251354225	0.376	0.0819859583353829	0.000242160278896212	nc-ID
T6	C1	diff_large-0.3	env-1.0	p-0.50	1.33095975790268	0.24863454762632	0.317	-0.110073615602384	8.03295735816013e-07	c
T6	C1	diff_large-0.3	env-1.0	p-0.50	1.33095975790268	0.24863454762632	0.309	-0.110073615602384	8.03295735816013e-07	c.p
T6	C1	diff_large-0.3	env-1.0	p-0.50	13.9251418983369	0.000190236750069164	0	-0.333848823267194	2.86453316097696e-53	nc
T6	C1	diff_large-0.3	env-1.0	p-0.50	0.486765764260624	0.485373581053826	0.528	-0.0668303160249311	0.0027877897003968	c-Tm
