rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
T3	C1	same_large-0.3	env-0.0	p-0.50	0.808733852179862	0.368494852626628	0.38	0.0869849642248703	9.81832021370419e-05	nc-Tm
T3	C1	same_large-0.3	env-0.0	p-0.50	0.175664280561565	0.675126075455501	0.698	-0.0410844182714446	0.0662131501091179	c-ID
T3	C1	same_large-0.3	env-0.0	p-0.50	0.175664280561565	0.675126075455501	0.696	-0.0410844182714446	0.0662131501091179	c.p-ID
T3	C1	same_large-0.3	env-0.0	p-0.50	0.441939227388951	0.506187954959476	0.544	0.064596072079217	0.00385196837393093	nc-ID
T4	C1	same_large-0.3	env-0.0	p-0.50	0.311547613983872	0.57673205673574	0.583	0.0550234900958516	0.0138530527959724	c
T4	C1	same_large-0.3	env-0.0	p-0.50	0.311547613983872	0.57673205673574	0.579	0.0550234900958516	0.0138530527959724	c.p
T4	C1	same_large-0.3	env-0.0	p-0.50	0.249879735133706	0.617159772364148	0.627	0.0483877478027577	0.0304735194141531	nc
T4	C1	same_large-0.3	env-0.0	p-0.50	0.320187259885205	0.571495130358636	0.566	0.0557802290762511	0.0125974634599301	c-Tm
T4	C1	same_large-0.3	env-0.0	p-0.50	0.320187259885205	0.571495130358636	0.546	0.0557802290762511	0.0125974634599301	c.p-Tm
T4	C1	same_large-0.3	env-0.0	p-0.50	0.0361886609303378	0.84912641574179	0.845	0.0184586665035356	0.409342713024827	nc-Tm
T4	C1	same_large-0.3	env-0.0	p-0.50	0.81250296880301	0.367381280441087	0.337	0.0885514201555629	7.32557914497716e-05	c-ID
T4	C1	same_large-0.3	env-0.0	p-0.50	0.81250296880301	0.367381280441087	0.36	0.0885514201555629	7.32557914497716e-05	c.p-ID
T4	C1	same_large-0.3	env-0.0	p-0.50	2.48451896438913	0.114971495237285	0.137	0.15112954051326	1.09409000106554e-11	nc-ID
T5	C1	same_large-0.3	env-0.0	p-0.50	3.05808840621501	0.0803361297000324	0.063	0.164067153360166	1.54995351120735e-13	c
T5	C1	same_large-0.3	env-0.0	p-0.50	3.05808840621501	0.0803361297000324	0.044	0.164067153360166	1.54995351120735e-13	c.p
T5	C1	same_large-0.3	env-0.0	p-0.50	0.908498815323157	0.340513041159305	0.27	0.091319850667822	4.31479782684483e-05	nc
T5	C1	same_large-0.3	env-0.0	p-0.50	1.7085499933713	0.191173609567914	0.176	0.123315272575032	3.15686648921231e-08	c-Tm
T5	C1	same_large-0.3	env-0.0	p-0.50	1.7085499933713	0.191173609567914	0.16	0.123315272575032	3.15686648921231e-08	c.p-Tm
T5	C1	same_large-0.3	env-0.0	p-0.50	0.377122240195822	0.539147402829509	0.496	-0.0589424604588261	0.00837337441772063	nc-Tm
T5	C1	same_large-0.3	env-0.0	p-0.50	1.8857597255423	0.169680958802889	0.145	0.129485009394796	6.18761436128255e-09	c-ID
T5	C1	same_large-0.3	env-0.0	p-0.50	1.8857597255423	0.169680958802889	0.156	0.129485009394796	6.18761436128255e-09	c.p-ID
