rep	case	h2	env	ts	ts_magnitude
L59	C1	same-0.3	env-1.0	p-0.50	0.0490744046116189
L60	C1	same-0.3	env-1.0	p-0.50	-0.0594656374157025
L61	C1	same-0.3	env-1.0	p-0.50	-0.104562454371889
L62	C1	same-0.3	env-1.0	p-0.50	0.0814471214388218
L63	C1	same-0.3	env-1.0	p-0.50	0.048954444974288
L64	C1	same-0.3	env-1.0	p-0.50	-0.0173244126637209
L65	C1	same-0.3	env-1.0	p-0.50	-0.118409924305437
L66	C1	same-0.3	env-1.0	p-0.50	-0.010980986408001
L67	C1	same-0.3	env-1.0	p-0.50	0.068887443091445
L68	C1	same-0.3	env-1.0	p-0.50	-0.123860069275538
L69	C1	same-0.3	env-1.0	p-0.50	0.0547757059356751
L70	C1	same-0.3	env-1.0	p-0.50	0.0578395363541335
L71	C1	same-0.3	env-1.0	p-0.50	-0.0315910437389244
L72	C1	same-0.3	env-1.0	p-0.50	0.128525319253171
L73	C1	same-0.3	env-1.0	p-0.50	0.212873096329681
L74	C1	same-0.3	env-1.0	p-0.50	-0.0666053000700149
L75	C1	same-0.3	env-1.0	p-0.50	0.00205766201416002
L76	C1	same-0.3	env-1.0	p-0.50	0.0285497101304025
L77	C1	same-0.3	env-1.0	p-0.50	0.131900418076378
L78	C1	same-0.3	env-1.0	p-0.50	0.0965081187313178
L79	C1	same-0.3	env-1.0	p-0.50	0.00299992267218518
L80	C1	same-0.3	env-1.0	p-0.50	-0.116408265921914
L81	C1	same-0.3	env-1.0	p-0.50	0.0249407013873144
L82	C1	same-0.3	env-1.0	p-0.50	-0.126790070937435
L83	C1	same-0.3	env-1.0	p-0.50	-0.0705885921553841
L84	C1	same-0.3	env-1.0	p-0.50	0.0360030861360831
L85	C1	same-0.3	env-1.0	p-0.50	-0.0855533321434695
L86	C1	same-0.3	env-1.0	p-0.50	0.0305762674680433
L87	C1	same-0.3	env-1.0	p-0.50	-0.0283872719041197
L88	C1	same-0.3	env-1.0	p-0.50	-0.0126870842365067
L89	C1	same-0.3	env-1.0	p-0.50	0.129660413240589
L90	C1	same-0.3	env-1.0	p-0.50	-0.0221553149478557
L91	C1	same-0.3	env-1.0	p-0.50	-0.00464930437527811
L92	C1	same-0.3	env-1.0	p-0.50	0.11629722239093
L93	C1	same-0.3	env-1.0	p-0.50	-0.260248650170175
L94	C1	same-0.3	env-1.0	p-0.50	0.0166845651644034
L95	C1	same-0.3	env-1.0	p-0.50	0.0286797688846495
L96	C1	same-0.3	env-1.0	p-0.50	-0.0440184706604662
L97	C1	same-0.3	env-1.0	p-0.50	0.1699626026939
L98	C1	same-0.3	env-1.0	p-0.50	-0.0563743566326535
L99	C1	same-0.3	env-1.0	p-0.50	0.0891326078110579
L100	C1	same-0.3	env-1.0	p-0.50	0.00964722957024566
L1	C1	diff-0.3	env-1.0	p-0.50	-0.0573535314092659
L2	C1	diff-0.3	env-1.0	p-0.50	-0.00140941223676094
L3	C1	diff-0.3	env-1.0	p-0.50	-0.164945715819883
L4	C1	diff-0.3	env-1.0	p-0.50	-0.16427659281649
L5	C1	diff-0.3	env-1.0	p-0.50	-0.10232334244542
L6	C1	diff-0.3	env-1.0	p-0.50	0.0208360688368872
L7	C1	diff-0.3	env-1.0	p-0.50	0.0977004227977103
L8	C1	diff-0.3	env-1.0	p-0.50	-0.00842479323475281
L9	C1	diff-0.3	env-1.0	p-0.50	0.0773448594395322
L10	C1	diff-0.3	env-1.0	p-0.50	0.0591536130482578
L11	C1	diff-0.3	env-1.0	p-0.50	-0.0693007162512432
L12	C1	diff-0.3	env-1.0	p-0.50	0.105431905057055
L13	C1	diff-0.3	env-1.0	p-0.50	-0.129608419714174
L14	C1	diff-0.3	env-1.0	p-0.50	-0.169882295739655
L15	C1	diff-0.3	env-1.0	p-0.50	-0.11144007602975
