rep,env,V1,Qx_random,Qx_strat,p_random,p_strat,REP
M12,env-0.0,c.p,0.00140553751032786,0.0188854914100768,0.970093915574978,0.890695271711095,M12
M12,env-0.0,nc,0.540232872098524,2.06273260742043,0.462336232733528,0.150939282386463,M12
M12,env-0.0,Tm-c,0.167554369330968,0.0350888827808756,0.682294526363506,0.85140953272552,M12
M12,env-0.0,Tm-c.p,0.167554369330968,0.0350888827808756,0.682294526363506,0.85140953272552,M12
M12,env-0.0,Tm-nc,0.530534362637647,4.18009557143659,0.466382288965635,0.0409013941936307,M12
M13,env-0.0,c,0.319343058754948,0.309189333375592,0.572002710263163,0.578178069273583,M13
M13,env-0.0,c.p,0.319343058754948,0.309189333375592,0.572002710263163,0.578178069273583,M13
M13,env-0.0,nc,0.0775685015331391,0.11158866172434,0.780619950747831,0.738342665725484,M13
M13,env-0.0,Tm-c,0.224639241524823,0.602354402833418,0.635527559011575,0.437681122139758,M13
M13,env-0.0,Tm-c.p,0.224639241524823,0.602354402833418,0.635527559011575,0.437681122139758,M13
M13,env-0.0,Tm-nc,0.352202823423618,1.16951074588601,0.552868806171014,0.279501791853431,M13
M14,env-0.0,c,0.00283388542668822,1.95539846551417e-05,0.957545266338754,0.996471774933277,M14
M14,env-0.0,c.p,0.00283388542668822,1.95539846551417e-05,0.957545266338754,0.996471774933277,M14
M14,env-0.0,nc,5.34575198216233,1.00714535023121,0.0207728216582012,0.315587697345817,M14
M14,env-0.0,Tm-c,0.0767461765310525,0.0137381819661872,0.781756300602023,0.906693649902308,M14
M14,env-0.0,Tm-c.p,0.0767461765310525,0.0137381819661872,0.781756300602023,0.906693649902308,M14
M14,env-0.0,Tm-nc,0.207902824933172,2.14801627119896,0.648416137461704,0.142754230688724,M14
M15,env-0.0,c,0.17668152587118,0.0272563569684976,0.674240733069498,0.868869213334469,M15
M15,env-0.0,c.p,0.17668152587118,0.0272563569684976,0.674240733069498,0.868869213334469,M15
M15,env-0.0,nc,0.765177387240538,0.0144469561883703,0.381713113388516,0.904328289109083,M15
M15,env-0.0,Tm-c,0.376897522486039,0.00186578432429524,0.539268324558999,0.965546309485106,M15
M15,env-0.0,Tm-c.p,0.376897522486039,0.00186578432429524,0.539268324558999,0.965546309485106,M15
M15,env-0.0,Tm-nc,0.0458193330402565,0.47357263893061,0.830504549705215,0.491348162695229,M15
M16,env-0.0,c,2.00951314111509,0.616325737079866,0.156315474713787,0.432415951130381,M16
M16,env-0.0,c.p,2.00951314111509,0.616325737079866,0.156315474713787,0.432415951130381,M16
M16,env-0.0,nc,2.37937484103871,0.205132485718882,0.122946739329291,0.650609560984675,M16
M16,env-0.0,Tm-c,0.395431431869626,0.000690064134772883,0.529458138085895,0.979042723499309,M16
M16,env-0.0,Tm-c.p,0.395431431869626,0.000690064134772883,0.529458138085895,0.979042723499309,M16
M16,env-0.0,Tm-nc,0.773955099256676,0.023765852500426,0.378996284897307,0.877482181912823,M16
M17,env-0.0,c,0.378295889233125,2.88142030976228,0.538516661487457,0.08960695297672,M17
M17,env-0.0,c.p,0.378295889233125,2.88142030976228,0.538516661487457,0.08960695297672,M17
M17,env-0.0,nc,0.0216006527601555,0.638413569482505,0.883154432605708,0.424285851094783,M17
M17,env-0.0,Tm-c,0.0767604126221699,2.05887136179574,0.78173657248906,0.151322214755464,M17
M17,env-0.0,Tm-c.p,0.0767604126221699,2.05887136179574,0.78173657248906,0.151322214755464,M17
M17,env-0.0,Tm-nc,0.520765479090457,0.299192218764306,0.470515332963399,0.584389270704635,M17
M18,env-0.0,c,0.547690387938156,1.29224017279899,0.459262938950297,0.255635525451281,M18
M18,env-0.0,c.p,0.547690387938156,1.29224017279899,0.459262938950297,0.255635525451281,M18
M18,env-0.0,nc,2.35316615319511,2.50896023888618,0.125028838631679,0.113200598077238,M18
M18,env-0.0,Tm-c,0.537294081610577,0.376264952589557,0.463556315248355,0.539608980305946,M18
M18,env-0.0,Tm-c.p,0.537294081610577,0.376264952589557,0.463556315248355,0.539608980305946,M18
M18,env-0.0,Tm-nc,4.15992799091801,0.00477938136430943,0.0413911636654554,0.944883697955865,M18
M19,env-0.0,c,0.303513212935538,0.178682995615342,0.581688288542533,0.672507504691899,M19
M19,env-0.0,c.p,0.303513212935538,0.178682995615342,0.581688288542533,0.672507504691899,M19
M19,env-0.0,nc,0.00179660432558369,1.39556766284068,0.966190694089709,0.237467100299512,M19
M19,env-0.0,Tm-c,0.0256122879370332,0.040937675463719,0.872850829003862,0.839658272027451,M19
M19,env-0.0,Tm-c.p,0.0256122879370332,0.040937675463719,0.872850829003862,0.839658272027451,M19
M19,env-0.0,Tm-nc,0.0139443588688228,0.408373981128741,0.905999330109508,0.522795964134586,M19
M20,env-0.0,c,0.211752605104864,1.57798628267016,0.645397184565004,0.209050991807635,M20
M20,env-0.0,c.p,0.211752605104864,1.57798628267016,0.645397184565004,0.209050991807635,M20
M20,env-0.0,nc,2.07897098179667,2.71649745439745,0.149340823272591,0.0993157308344758,M20
M20,env-0.0,Tm-c,0.42980864623298,1.36775385722909,0.512082857550892,0.242198177262777,M20
M20,env-0.0,Tm-c.p,0.42980864623298,1.36775385722909,0.512082857550892,0.242198177262777,M20
M20,env-0.0,Tm-nc,5.32669168568293,0.294610368489427,0.0210012128570115,0.587281132836726,M20
M21,env-0.0,c,0.34584444844605,0.0197686186550403,0.556474966227796,0.888185221543639,M21
M21,env-0.0,c.p,0.34584444844605,0.0197686186550403,0.556474966227796,0.888185221543639,M21
