rep	case	h2	env	ts	Qx	P-Chi	P-EN
L40	C1	diff-0.3	env-0.0	p-0.50			
L41	C1	diff-0.3	env-0.0	p-0.50			
L42	C1	diff-0.3	env-0.0	p-0.50			
L43	C1	diff-0.3	env-0.0	p-0.50			
L44	C1	diff-0.3	env-0.0	p-0.50			
L45	C1	diff-0.3	env-0.0	p-0.50			
L46	C1	diff-0.3	env-0.0	p-0.50			
L47	C1	diff-0.3	env-0.0	p-0.50			
L48	C1	diff-0.3	env-0.0	p-0.50			
L49	C1	diff-0.3	env-0.0	p-0.50			
L50	C1	diff-0.3	env-0.0	p-0.50			
L51	C1	diff-0.3	env-0.0	p-0.50			
L52	C1	diff-0.3	env-0.0	p-0.50			
L53	C1	diff-0.3	env-0.0	p-0.50			
L54	C1	diff-0.3	env-0.0	p-0.50			
L55	C1	diff-0.3	env-0.0	p-0.50			
L56	C1	diff-0.3	env-0.0	p-0.50			
L57	C1	diff-0.3	env-0.0	p-0.50			
L58	C1	diff-0.3	env-0.0	p-0.50			
L59	C1	diff-0.3	env-0.0	p-0.50			
L60	C1	diff-0.3	env-0.0	p-0.50			
L61	C1	diff-0.3	env-0.0	p-0.50			
L62	C1	diff-0.3	env-0.0	p-0.50			
L63	C1	diff-0.3	env-0.0	p-0.50			
L64	C1	diff-0.3	env-0.0	p-0.50			
L65	C1	diff-0.3	env-0.0	p-0.50			
L66	C1	diff-0.3	env-0.0	p-0.50			
L67	C1	diff-0.3	env-0.0	p-0.50			
L68	C1	diff-0.3	env-0.0	p-0.50			
L69	C1	diff-0.3	env-0.0	p-0.50			
L70	C1	diff-0.3	env-0.0	p-0.50			
L71	C1	diff-0.3	env-0.0	p-0.50			
L72	C1	diff-0.3	env-0.0	p-0.50			
L73	C1	diff-0.3	env-0.0	p-0.50			
L74	C1	diff-0.3	env-0.0	p-0.50			
L75	C1	diff-0.3	env-0.0	p-0.50			
L76	C1	diff-0.3	env-0.0	p-0.50			
L77	C1	diff-0.3	env-0.0	p-0.50			
L78	C1	diff-0.3	env-0.0	p-0.50			
L79	C1	diff-0.3	env-0.0	p-0.50			
L80	C1	diff-0.3	env-0.0	p-0.50			
L81	C1	diff-0.3	env-0.0	p-0.50			
L82	C1	diff-0.3	env-0.0	p-0.50			
L83	C1	diff-0.3	env-0.0	p-0.50			
L84	C1	diff-0.3	env-0.0	p-0.50			
L85	C1	diff-0.3	env-0.0	p-0.50			
L86	C1	diff-0.3	env-0.0	p-0.50			
L87	C1	diff-0.3	env-0.0	p-0.50			
L88	C1	diff-0.3	env-0.0	p-0.50			
L89	C1	diff-0.3	env-0.0	p-0.50			
L90	C1	diff-0.3	env-0.0	p-0.50			
L91	C1	diff-0.3	env-0.0	p-0.50			
L92	C1	diff-0.3	env-0.0	p-0.50			
L93	C1	diff-0.3	env-0.0	p-0.50			
L94	C1	diff-0.3	env-0.0	p-0.50			
L95	C1	diff-0.3	env-0.0	p-0.50			
L96	C1	diff-0.3	env-0.0	p-0.50			
L97	C1	diff-0.3	env-0.0	p-0.50			
L98	C1	diff-0.3	env-0.0	p-0.50			
L99	C1	diff-0.3	env-0.0	p-0.50			
L100	C1	diff-0.3	env-0.0	p-0.50			
L1	C1	same-0.3	env-1.0	p-0.50	1.46717846943563	0.225791395811107	0.186
L2	C1	same-0.3	env-1.0	p-0.50	9.36899694708035	0.00220686249955286	0.002
L3	C1	same-0.3	env-1.0	p-0.50	0.0408718930678525	0.839785402708782	0.852
L4	C1	same-0.3	env-1.0	p-0.50	1.26229084949221	0.26121790909363	0.242
L5	C1	same-0.3	env-1.0	p-0.50	1.57811462886117	0.209032475119782	0.139
L6	C1	same-0.3	env-1.0	p-0.50	0.580543046277806	0.446099542827495	0.416
L7	C1	same-0.3	env-1.0	p-0.50	0.0161057796692857	0.89901278066875	0.91
L8	C1	same-0.3	env-1.0	p-0.50	2.98284048673231	0.0841514691047527	0.063
L9	C1	same-0.3	env-1.0	p-0.50	0.450453169494159	0.50211982993518	0.493
L10	C1	same-0.3	env-1.0	p-0.50	1.55576932759334	0.212285748781313	0.23
L11	C1	same-0.3	env-1.0	p-0.50	0.245363370744923	0.620358960895253	0.605
L12	C1	same-0.3	env-1.0	p-0.50	1.96289736432235	0.161203789260243	0.165
L13	C1	same-0.3	env-1.0	p-0.50	0.0944180181999129	0.758633948279483	0.781
L14	C1	same-0.3	env-1.0	p-0.50	1.164142096662	0.280608159508782	0.254
L15	C1	same-0.3	env-1.0	p-0.50	0.212588693729249	0.644745934619238	0.668
L16	C1	same-0.3	env-1.0	p-0.50	0.152634124003992	0.696030698140962	0.699
L17	C1	same-0.3	env-1.0	p-0.50	0.785765150745774	0.375383730572741	0.453
L18	C1	same-0.3	env-1.0	p-0.50	0.185738931462466	0.666486986390888	0.651
L19	C1	same-0.3	env-1.0	p-0.50	0.111792331589159	0.738112746390106	0.755
L20	C1	same-0.3	env-1.0	p-0.50	0.995794879202025	0.318330167887463	0.302
L21	C1	same-0.3	env-1.0	p-0.50	5.38975177410847	0.0202553519937062	0.045
L22	C1	same-0.3	env-1.0	p-0.50	0.078069017996017	0.779931474847211	0.799
L23	C1	same-0.3	env-1.0	p-0.50	1.17368370484036	0.278645629175605	0.223
L24	C1	same-0.3	env-1.0	p-0.50	2.81672049287636	0.0932868272465726	0.103
L25	C1	same-0.3	env-1.0	p-0.50	0.0639056521061541	0.800426111850938	0.806
L26	C1	same-0.3	env-1.0	p-0.50	0.553681864571285	0.456817176607317	0.497
L27	C1	same-0.3	env-1.0	p-0.50	1.98234285955481	0.159143808829796	0.173
L28	C1	same-0.3	env-1.0	p-0.50	0.331599563290839	0.564718721839931	0.59
