rep	case	h2	pheno	envs	test	Qx	P.Chi	P.EN	P.Chi_Lat	P.EN_Lat	P.Chi_Long	P.EN_Long	type
A11	C1	h2-0	LAT	env-0.0	LAT	0.348453143341692	0.809024530827764	0.828	0.809024530827764	0.822	0.554990076872463	0.586	c
A11	C1	h2-0	LAT	env-0.0	LAT	0.348453143341692	0.809024530827764	0.843	0.809024530827764	0.841	0.554990076872463	0.594	c.p
A11	C1	h2-0	LAT	env-0.0	LAT	0.0470704722918754	0.407214097859799	0.405	0.407214097859799	0.418	0.828241617905864	0.841	nc
A11	C1	h2-0	LAT	env-0.0	LAT	0.3408032215768	0.750815565106034	0.79	0.750815565106034	0.75	0.559365953755615	0.597	c-Tm
A11	C1	h2-0	LAT	env-0.0	LAT	0.3408032215768	0.750815565106034	0.762	0.750815565106034	0.743	0.559365953755615	0.609	c.p-Tm
A11	C1	h2-0	LAT	env-0.0	LAT	0.0620363358961323	0.444728099782436	0.462	0.444728099782436	0.459	0.803305903476474	0.806	nc-Tm
A11	C1	h2-0	LAT	env-0.0	LAT	0.342665138694023	0.762304645226372	0.769	0.762304645226372	0.8	0.558294878276278	0.616	c-ID
A11	C1	h2-0	LAT	env-0.0	LAT	0.342665138694023	0.762304645226372	0.804	0.762304645226372	0.815	0.558294878276278	0.597	c.p-ID
A11	C1	h2-0	LAT	env-0.0	LAT	0.0624449252971397	0.442477562347495	0.491	0.442477562347495	0.465	0.802672551107795	0.824	nc-ID
A12	C1	h2-0	LAT	env-0.0	LAT	0.911501518910558	0.992419981885478	0.99	0.992419981885478	0.992	0.339716335237442	0.339	c
A12	C1	h2-0	LAT	env-0.0	LAT	0.911501518910558	0.992419981885478	0.993	0.992419981885478	0.989	0.339716335237442	0.322	c.p
A12	C1	h2-0	LAT	env-0.0	LAT	0.178202517834551	0.669111357694963	0.657	0.669111357694963	0.674	0.672922540599055	0.678	nc
A12	C1	h2-0	LAT	env-0.0	LAT	0.898112812472742	0.745217994915192	0.776	0.745217994915192	0.743	0.34328823995229	0.361	c-Tm
A12	C1	h2-0	LAT	env-0.0	LAT	0.898112812472742	0.745217994915192	0.765	0.745217994915192	0.73	0.34328823995229	0.351	c.p-Tm
A12	C1	h2-0	LAT	env-0.0	LAT	0.00113288127685718	0.512906530324664	0.527	0.512906530324664	0.554	0.973149630498073	0.972	nc-Tm
A12	C1	h2-0	LAT	env-0.0	LAT	0.895979863448185	0.982594634245275	0.981	0.982594634245275	0.972	0.343861949541975	0.345	c-ID
A12	C1	h2-0	LAT	env-0.0	LAT	0.895979863448185	0.982594634245275	0.987	0.982594634245275	0.987	0.343861949541975	0.341	c.p-ID
A12	C1	h2-0	LAT	env-0.0	LAT	0.0963684948850761	0.728908847684421	0.721	0.728908847684421	0.731	0.756231889329609	0.754	nc-ID
A13	C1	h2-0	LAT	env-0.0	LAT	0.970989601284927	0.366300574357187	0.418	0.366300574357187	0.407	0.32443349916571	0.346	c
A13	C1	h2-0	LAT	env-0.0	LAT	0.970989601284927	0.366300574357187	0.421	0.366300574357187	0.394	0.32443349916571	0.351	c.p
A13	C1	h2-0	LAT	env-0.0	LAT	0.206281477126266	0.761251968098408	0.748	0.761251968098408	0.76	0.649697688492112	0.624	nc
A13	C1	h2-0	LAT	env-0.0	LAT	0.980232672229134	0.287978775943197	0.331	0.287978775943197	0.373	0.322141369890273	0.338	c-Tm
A13	C1	h2-0	LAT	env-0.0	LAT	0.980232672229134	0.287978775943197	0.364	0.287978775943197	0.335	0.322141369890273	0.36	c.p-Tm
A13	C1	h2-0	LAT	env-0.0	LAT	0.423668685814337	0.832067017214297	0.831	0.832067017214297	0.857	0.515112094846761	0.485	nc-Tm
A13	C1	h2-0	LAT	env-0.0	LAT	0.970213306643882	0.389889129507863	0.432	0.389889129507863	0.44	0.324626986603853	0.364	c-ID
A13	C1	h2-0	LAT	env-0.0	LAT	0.970213306643882	0.389889129507863	0.411	0.389889129507863	0.431	0.324626986603853	0.37	c.p-ID
A13	C1	h2-0	LAT	env-0.0	LAT	0.173113418129993	0.732792610240433	0.744	0.732792610240433	0.715	0.677359508620666	0.686	nc-ID
A14	C1	h2-0	LAT	env-0.0	LAT	7.38808401899453	0.899592211175606	0.902	0.899592211175606	0.873	0.00656573918766987	0.002	c
A14	C1	h2-0	LAT	env-0.0	LAT	7.38808401899453	0.899592211175606	0.906	0.899592211175606	0.907	0.00656573918766987	0.006	c.p
A14	C1	h2-0	LAT	env-0.0	LAT	0.329793098876759	0.137988013567725	0.15	0.137988013567725	0.163	0.565780944352058	0.565	nc
A14	C1	h2-0	LAT	env-0.0	LAT	7.35375283390233	0.75173624453996	0.741	0.75173624453996	0.744	0.00669229163035784	0.008	c-Tm
A14	C1	h2-0	LAT	env-0.0	LAT	7.35375283390233	0.75173624453996	0.769	0.75173624453996	0.755	0.00669229163035784	0.005	c.p-Tm
A14	C1	h2-0	LAT	env-0.0	LAT	0.46682566425989	0.0399923580066538	0.043	0.0399923580066538	0.054	0.494451147528608	0.528	nc-Tm
