rep	case	snp	correlation
A47	C1	snp-15000	0.839574547707709
A48	C1	snp-15000	0.877913190986634
A49	C1	snp-15000	0.8622079297313
A50	C1	snp-15000	0.864433226258509
A51	C1	snp-15000	0.87606622537755
A52	C1	snp-15000	0.853882005590028
A53	C1	snp-15000	0.878940932660913
A54	C1	snp-15000	0.876706475968713
A55	C1	snp-15000	0.865645304985869
A56	C1	snp-15000	0.860356068194152
A57	C1	snp-15000	0.825629785364534
A58	C1	snp-15000	0.874591791286984
A59	C1	snp-15000	0.823196616723545
A60	C1	snp-15000	0.844072642383183
A61	C1	snp-15000	0.861768994443974
A62	C1	snp-15000	0.848422167666436
A63	C1	snp-15000	0.860432832938397
A64	C1	snp-15000	0.869987568353782
A65	C1	snp-15000	0.852745324675917
A66	C1	snp-15000	0.870607265554019
A67	C1	snp-15000	0.873456077443322
A68	C1	snp-15000	0.859479156209988
A69	C1	snp-15000	0.852486326658193
A70	C1	snp-15000	0.859217914306425
A71	C1	snp-15000	0.866970886107662
A72	C1	snp-15000	0.870936683206464
A73	C1	snp-15000	0.856523885916207
A74	C1	snp-15000	0.878361198751291
A75	C1	snp-15000	0.87290463472287
A76	C1	snp-15000	0.868637967045925
A77	C1	snp-15000	0.865903460747201
A78	C1	snp-15000	0.859927763723184
A79	C1	snp-15000	0.871163386456976
A80	C1	snp-15000	0.873222463121917
A81	C1	snp-15000	0.871791773399523
A82	C1	snp-15000	0.855094678293661
A83	C1	snp-15000	0.862554013055518
A84	C1	snp-15000	0.870030566150252
A85	C1	snp-15000	0.8688630334937
A86	C1	snp-15000	0.839167469108316
A87	C1	snp-15000	0.851399739461856
A88	C1	snp-15000	0.841176505383094
A89	C1	snp-15000	0.869600885872542
A90	C1	snp-15000	0.875995105576175
A91	C1	snp-15000	0.870513534843903
A92	C1	snp-15000	0.853334412701405
A93	C1	snp-15000	0.865740803403935
A94	C1	snp-15000	0.872061398753541
A95	C1	snp-15000	0.860282980339711
A96	C1	snp-15000	0.875113504394095
A97	C1	snp-15000	0.866529769034365
A98	C1	snp-15000	0.875712122998503
A99	C1	snp-15000	0.853546258522879
A100	C1	snp-15000	0.87605490922265
A1	C1	snp-5000	0.817147554810067
A2	C1	snp-5000	0.85047751306703
A3	C1	snp-5000	0.846069914819385
A4	C1	snp-5000	0.844561598758888
A5	C1	snp-5000	0.85620073216485
A6	C1	snp-5000	0.859692589758674
A7	C1	snp-5000	0.837281737639898
A8	C1	snp-5000	0.818650689864362
A9	C1	snp-5000	0.837855360134236
A10	C1	snp-5000	0.848454839308889
A11	C1	snp-5000	0.851885445298922
A12	C1	snp-5000	0.832887976517905
A13	C1	snp-5000	0.855441563947802
A14	C1	snp-5000	0.838877597967105
A15	C1	snp-5000	0.841811024446733
A16	C1	snp-5000	0.861019588988502
A17	C1	snp-5000	0.827891313194183
A18	C1	snp-5000	0.838668802769885
A19	C1	snp-5000	0.834776800850633
A20	C1	snp-5000	0.85142083074584
A21	C1	snp-5000	0.863507325980346
A22	C1	snp-5000	0.859507143696016
A23	C1	snp-5000	0.860452764679019
A24	C1	snp-5000	0.857897775175705
A25	C1	snp-5000	0.825018308748229
A26	C1	snp-5000	0.850712428994091
A27	C1	snp-5000	0.840216069885281
A28	C1	snp-5000	0.847303394417639
A29	C1	snp-5000	0.832692854046774
A30	C1	snp-5000	0.830911575716146
A31	C1	snp-5000	0.836500893420124
A32	C1	snp-5000	0.830437810253151
A33	C1	snp-5000	0.848951619268451
A34	C1	snp-5000	0.838936145195412
A35	C1	snp-5000	0.860808316577123
A36	C1	snp-5000	0.856883832507865
A37	C1	snp-5000	0.837647519388029
A38	C1	snp-5000	0.866353988357935
A39	C1	snp-5000	0.829735087535705
A40	C1	snp-5000	0.836099781577227
A41	C1	snp-5000	0.831753078429449
A42	C1	snp-5000	0.86188516517406
A43	C1	snp-5000	0.844558294036935
A44	C1	snp-5000	0.844803498038855
A45	C1	snp-5000	0.841632377721059
A46	C1	snp-5000	0.813532109875703
A47	C1	snp-5000	0.805278982650449
A48	C1	snp-5000	0.854776954433729
A49	C1	snp-5000	0.840739559393809
A50	C1	snp-5000	0.84516007373172
A51	C1	snp-5000	0.861175173285976
A52	C1	snp-5000	0.824289346415461
A53	C1	snp-5000	0.859918908625551
A54	C1	snp-5000	0.855186667761611
A55	C1	snp-5000	0.850159876102341
A56	C1	snp-5000	0.839339196800492
A57	C1	snp-5000	0.784890037635225
A58	C1	snp-5000	0.851173778424546
A59	C1	snp-5000	0.803255682530497
A60	C1	snp-5000	0.812753616296338
A61	C1	snp-5000	0.834988098073177
A62	C1	snp-5000	0.835158018096862
A63	C1	snp-5000	0.843478749096554
A64	C1	snp-5000	0.85463624922207
A65	C1	snp-5000	0.832961019482143
A66	C1	snp-5000	0.84474193544663
A67	C1	snp-5000	0.843496234182258
A68	C1	snp-5000	0.83946035796206
A69	C1	snp-5000	0.821420103444593
A70	C1	snp-5000	0.83917566571352
A71	C1	snp-5000	0.8474097069326
A72	C1	snp-5000	0.843822815577557
A73	C1	snp-5000	0.847820285026177
A74	C1	snp-5000	0.853185534929838
A75	C1	snp-5000	0.855375619954384
A76	C1	snp-5000	0.845904215244602
A77	C1	snp-5000	0.850560820390488
A78	C1	snp-5000	0.846714618639255
A79	C1	snp-5000	0.846781190199061
A80	C1	snp-5000	0.861171903289495
A81	C1	snp-5000	0.863276574395025
A82	C1	snp-5000	0.845446661976064
A83	C1	snp-5000	0.833805027038083
A84	C1	snp-5000	0.841591107227338
A85	C1	snp-5000	0.834719504216884
A86	C1	snp-5000	0.82415241278017
A87	C1	snp-5000	0.837543830818909
A88	C1	snp-5000	0.798066533052066
A89	C1	snp-5000	0.853599555409603
A90	C1	snp-5000	0.852219782059535
A91	C1	snp-5000	0.845774822958846
A92	C1	snp-5000	0.830691364447897
A93	C1	snp-5000	0.842937979815643
A94	C1	snp-5000	0.846612410369267
A95	C1	snp-5000	0.814195779237125
A96	C1	snp-5000	0.847714566710609
A97	C1	snp-5000	0.853014654464028
A98	C1	snp-5000	0.843638618463821
A99	C1	snp-5000	0.841676715123522
A100	C1	snp-5000	0.851852384778924
