rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
C10	C1	h2-0.0	p-0.50	env_0.0	3.4997986292396	0.0613762916544702	0.085	c.p-ID
C10	C1	h2-0.0	p-0.50	env_0.0	6.61636682056141	0.0101045757954148	0.016	nc-ID
C10	C1	h2-0.0	p-0.50	env_0.0			1	True
C11	C1	h2-0.0	p-0.50	env_0.0	0.151160279417762	0.697429010603682	0.688	c
C11	C1	h2-0.0	p-0.50	env_0.0	0.151160279417762	0.697429010603682	0.711	c.p
C11	C1	h2-0.0	p-0.50	env_0.0	0.190577103103003	0.662436733092757	0.655	nc
C11	C1	h2-0.0	p-0.50	env_0.0	0.403912258757099	0.525075688663136	0.549	c-Tm
C11	C1	h2-0.0	p-0.50	env_0.0	0.403912258757099	0.525075688663136	0.547	c.p-Tm
C11	C1	h2-0.0	p-0.50	env_0.0	0.00281002001595534	0.957724241311742	0.959	nc-Tm
C11	C1	h2-0.0	p-0.50	env_0.0	0.0867714396348969	0.768322441007144	0.786	c-ID
C11	C1	h2-0.0	p-0.50	env_0.0	0.0867714396348969	0.768322441007144	0.784	c.p-ID
C11	C1	h2-0.0	p-0.50	env_0.0	1.14675021987758	0.284230477107524	0.282	nc-ID
C11	C1	h2-0.0	p-0.50	env_0.0			1	True
C12	C1	h2-0.0	p-0.50	env_0.0	2.74432343319234	0.0976003801071416	0.077	c
C12	C1	h2-0.0	p-0.50	env_0.0	2.74432343319234	0.0976003801071416	0.064	c.p
C12	C1	h2-0.0	p-0.50	env_0.0	1.3808523922881	0.239956007288248	0.21	nc
C12	C1	h2-0.0	p-0.50	env_0.0	2.13435883657506	0.144030672599607	0.122	c-Tm
C12	C1	h2-0.0	p-0.50	env_0.0	2.13435883657506	0.144030672599607	0.111	c.p-Tm
C12	C1	h2-0.0	p-0.50	env_0.0	0.212448680442856	0.644854886043888	0.661	nc-Tm
C12	C1	h2-0.0	p-0.50	env_0.0	2.65980997487269	0.102913028620893	0.089	c-ID
C12	C1	h2-0.0	p-0.50	env_0.0	2.65980997487269	0.102913028620893	0.055	c.p-ID
C12	C1	h2-0.0	p-0.50	env_0.0	0.930274536101324	0.334791597207331	0.329	nc-ID
C12	C1	h2-0.0	p-0.50	env_0.0			1	True
C13	C1	h2-0.0	p-0.50	env_0.0	0.159031416515351	0.69004983781157	0.647	c
C13	C1	h2-0.0	p-0.50	env_0.0	0.159031416515351	0.69004983781157	0.68	c.p
C13	C1	h2-0.0	p-0.50	env_0.0	0.00191622932290464	0.965083949036873	0.964	nc
C13	C1	h2-0.0	p-0.50	env_0.0	0.578686875890968	0.446827484414173	0.42	c-Tm
C13	C1	h2-0.0	p-0.50	env_0.0	0.578686875890968	0.446827484414173	0.437	c.p-Tm
C13	C1	h2-0.0	p-0.50	env_0.0	2.53795002594299	0.111138997229345	0.125	nc-Tm
C13	C1	h2-0.0	p-0.50	env_0.0	0.436671314028416	0.508733461420716	0.47	c-ID
C13	C1	h2-0.0	p-0.50	env_0.0	0.436671314028416	0.508733461420716	0.493	c.p-ID
C13	C1	h2-0.0	p-0.50	env_0.0	2.08439845654303	0.148810832070476	0.154	nc-ID
C13	C1	h2-0.0	p-0.50	env_0.0			1	True
C14	C1	h2-0.0	p-0.50	env_0.0	1.11025023928463	0.292027558543953	0.335	c
C14	C1	h2-0.0	p-0.50	env_0.0	1.11025023928463	0.292027558543953	0.348	c.p
C14	C1	h2-0.0	p-0.50	env_0.0	0.795560790570818	0.372423943242364	0.407	nc
C14	C1	h2-0.0	p-0.50	env_0.0	0.377502951415331	0.538942653391459	0.531	c-Tm
C14	C1	h2-0.0	p-0.50	env_0.0	0.377502951415331	0.538942653391459	0.519	c.p-Tm
C14	C1	h2-0.0	p-0.50	env_0.0	3.52786316172818	0.0603455134617044	0.065	nc-Tm
C14	C1	h2-0.0	p-0.50	env_0.0	1.4120019840409	0.234724336639801	0.263	c-ID
C14	C1	h2-0.0	p-0.50	env_0.0	1.4120019840409	0.234724336639801	0.244	c.p-ID
C14	C1	h2-0.0	p-0.50	env_0.0	0.195556995685104	0.658331268713288	0.639	nc-ID
C14	C1	h2-0.0	p-0.50	env_0.0			1	True
C15	C1	h2-0.0	p-0.50	env_0.0	0.0317924043298587	0.858484044007579	0.844	c
C15	C1	h2-0.0	p-0.50	env_0.0	0.0317924043298587	0.858484044007579	0.867	c.p
C15	C1	h2-0.0	p-0.50	env_0.0	0.0232877459673821	0.878711177249813	0.861	nc
C15	C1	h2-0.0	p-0.50	env_0.0	7.49046112566168e-05	0.993094598783518	0.994	c-Tm
C15	C1	h2-0.0	p-0.50	env_0.0	7.49046112566168e-05	0.993094598783518	0.996	c.p-Tm
C15	C1	h2-0.0	p-0.50	env_0.0	0.0185995484037528	0.891520756104045	0.881	nc-Tm
C15	C1	h2-0.0	p-0.50	env_0.0	0.00489340722205334	0.944231153772714	0.939	c-ID
C15	C1	h2-0.0	p-0.50	env_0.0	0.00489340722205334	0.944231153772714	0.936	c.p-ID
C15	C1	h2-0.0	p-0.50	env_0.0	0.0126442483004545	0.910469271297504	0.912	nc-ID
C15	C1	h2-0.0	p-0.50	env_0.0			1	True
C16	C1	h2-0.0	p-0.50	env_0.0	0.840716484918723	0.359191936167236	0.354	c
C16	C1	h2-0.0	p-0.50	env_0.0	0.840716484918723	0.359191936167236	0.371	c.p
C16	C1	h2-0.0	p-0.50	env_0.0	2.98037414329231	0.0842797880108593	0.073	nc
C16	C1	h2-0.0	p-0.50	env_0.0	0.970735756204273	0.324496751966979	0.348	c-Tm
C16	C1	h2-0.0	p-0.50	env_0.0	0.970735756204273	0.324496751966979	0.363	c.p-Tm
C16	C1	h2-0.0	p-0.50	env_0.0	2.74034402379156	0.0978437004861983	0.088	nc-Tm
C16	C1	h2-0.0	p-0.50	env_0.0	0.999247347025075	0.317492696410946	0.336	c-ID
