rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
A12	C1	h2-0.3	p-0.50	env_0.0	0.539946837567609	0.462454759518774	0.441	nc-ID
A12	C1	h2-0.3	p-0.50	env_0.0	0.439247053113437	0.507486094785324	0.468	True
A13	C1	h2-0.3	p-0.50	env_0.0	0.722816688607055	0.395221535618246	0.434	c
A13	C1	h2-0.3	p-0.50	env_0.0	0.722816688607055	0.395221535618246	0.408	c.p
A13	C1	h2-0.3	p-0.50	env_0.0	4.96152918041959	0.0259172787085052	0.032	nc
A13	C1	h2-0.3	p-0.50	env_0.0	0.0585480736344038	0.808805662375175	0.824	c-Tm
A13	C1	h2-0.3	p-0.50	env_0.0	0.0585480736344038	0.808805662375175	0.833	c.p-Tm
A13	C1	h2-0.3	p-0.50	env_0.0	0.0898986895404191	0.764305990400703	0.777	nc-Tm
A13	C1	h2-0.3	p-0.50	env_0.0	0.10413619468726	0.746921390459763	0.775	c-ID
A13	C1	h2-0.3	p-0.50	env_0.0	0.10413619468726	0.746921390459763	0.764	c.p-ID
A13	C1	h2-0.3	p-0.50	env_0.0	0.237187489682272	0.626244878556167	0.648	nc-ID
A13	C1	h2-0.3	p-0.50	env_0.0	0.0232599186422473	0.878783104548309	0.893	True
A14	C1	h2-0.3	p-0.50	env_0.0	2.31183695729547	0.128392237606562	0.119	c
A14	C1	h2-0.3	p-0.50	env_0.0	2.31183695729547	0.128392237606562	0.109	c.p
A14	C1	h2-0.3	p-0.50	env_0.0	14.6331381391505	0.0001305978240284	0	nc
A14	C1	h2-0.3	p-0.50	env_0.0	0.522738696489416	0.469675764422067	0.458	c-Tm
A14	C1	h2-0.3	p-0.50	env_0.0	0.522738696489416	0.469675764422067	0.469	c.p-Tm
A14	C1	h2-0.3	p-0.50	env_0.0	0.764664194254246	0.381872805004842	0.385	nc-Tm
A14	C1	h2-0.3	p-0.50	env_0.0	0.563723936858171	0.452763691081686	0.44	c-ID
A14	C1	h2-0.3	p-0.50	env_0.0	0.563723936858171	0.452763691081686	0.395	c.p-ID
A14	C1	h2-0.3	p-0.50	env_0.0	0.434790840272741	0.509647470722737	0.498	nc-ID
A14	C1	h2-0.3	p-0.50	env_0.0	0.604571129958336	0.436839228815163	0.438	True
A15	C1	h2-0.3	p-0.50	env_0.0	0.426210637414498	0.513854212893247	0.49	c
A15	C1	h2-0.3	p-0.50	env_0.0	0.426210637414498	0.513854212893247	0.514	c.p
A15	C1	h2-0.3	p-0.50	env_0.0	0.441908997277091	0.506202499947542	0.512	nc
A15	C1	h2-0.3	p-0.50	env_0.0	0.472644588471295	0.49177304346058	0.466	c-Tm
A15	C1	h2-0.3	p-0.50	env_0.0	0.472644588471295	0.49177304346058	0.484	c.p-Tm
