#FID,IID,V2
tsk_209,tsk_209,-0.130633
tsk_210,tsk_210,-0.132074
tsk_211,tsk_211,0.0280279
tsk_212,tsk_212,0.11009
tsk_213,tsk_213,0.192197
tsk_214,tsk_214,-0.132074
tsk_215,tsk_215,-0.135243
tsk_216,tsk_216,-0.135243
tsk_217,tsk_217,-0.056535
tsk_218,tsk_218,-0.162804
tsk_219,tsk_219,0.0963394
tsk_220,tsk_220,0.677908
tsk_221,tsk_221,-0.0974851
tsk_222,tsk_222,0.0605454
tsk_223,tsk_223,-0.0974851
tsk_224,tsk_224,0.154327
tsk_225,tsk_225,0.0605454
tsk_226,tsk_226,0.0253133
tsk_227,tsk_227,-0.0851394
tsk_228,tsk_228,0.408441
tsk_229,tsk_229,-0.413038
tsk_230,tsk_230,0.0925518
tsk_231,tsk_231,-0.123296
tsk_232,tsk_232,0.116239
tsk_233,tsk_233,-0.137708
tsk_234,tsk_234,-0.26648
tsk_235,tsk_235,-0.019332
tsk_236,tsk_236,0.0106338
tsk_237,tsk_237,0.0911255
tsk_238,tsk_238,0.265308
tsk_239,tsk_239,-0.26648
tsk_240,tsk_240,-1.17143
tsk_241,tsk_241,0.215928
tsk_242,tsk_242,1.72781
tsk_243,tsk_243,0.154327
tsk_244,tsk_244,-0.105958
tsk_245,tsk_245,0.159218
tsk_246,tsk_246,0.136909
tsk_247,tsk_247,0.0989177
tsk_248,tsk_248,-0.0785896
tsk_249,tsk_249,0.0989177
tsk_250,tsk_250,0.0552213
tsk_251,tsk_251,0.130843
tsk_252,tsk_252,-0.072468
tsk_253,tsk_253,0.0517762
tsk_254,tsk_254,-0.100711
tsk_255,tsk_255,-0.0984738
tsk_256,tsk_256,-0.129486
tsk_257,tsk_257,-0.0327895
tsk_258,tsk_258,-0.100711
tsk_259,tsk_259,0.0912749
tsk_260,tsk_260,-0.0327895
tsk_261,tsk_261,-0.0327895
tsk_262,tsk_262,-0.0327895
tsk_263,tsk_263,-0.0179525
tsk_264,tsk_264,0.110774
tsk_265,tsk_265,-0.0928558
tsk_266,tsk_266,-0.0928558
tsk_267,tsk_267,0.245541
tsk_268,tsk_268,0.245541
tsk_269,tsk_269,0.245541
tsk_270,tsk_270,0.245541
tsk_271,tsk_271,-0.11263
tsk_272,tsk_272,-0.172468
tsk_273,tsk_273,-0.0882433
tsk_274,tsk_274,-0.12136
tsk_275,tsk_275,-0.12136
tsk_276,tsk_276,-0.12136
tsk_277,tsk_277,-0.130459
tsk_278,tsk_278,0.0174045
tsk_279,tsk_279,0.180042
tsk_280,tsk_280,-0.159054
tsk_281,tsk_281,-0.159054
tsk_282,tsk_282,0.245541
tsk_283,tsk_283,0.245541
tsk_284,tsk_284,0.127739
tsk_285,tsk_285,-0.0270364
tsk_286,tsk_286,-0.139228
tsk_287,tsk_287,-0.110612
tsk_288,tsk_288,-0.046856
tsk_289,tsk_289,-0.046856
tsk_290,tsk_290,-0.046856
tsk_291,tsk_291,-0.128428
tsk_292,tsk_292,0.245541
tsk_293,tsk_293,-0.059161
tsk_294,tsk_294,-0.731994
tsk_295,tsk_295,-0.0241818
tsk_296,tsk_296,-0.0241818
tsk_297,tsk_297,-0.0241818
tsk_298,tsk_298,-0.0241818
